hName,hAddress
Sells Hospital,"Highway 86, At Topawa Road"
Phoenix Indian Medical Center,4212 North 16Th Street
Abrazo Scottsdale Campus,3929 East Bell Road
Chinle Comprehensive Health Care Facility,"Us Hwy 191, Hospital Road"
Northwest Medical Center,6200 North La Cholla Boulevard
Honorhealth Scottsdale Shea Medical Center,9003 East Shea Boulevard
Banner Baywood Medical Center,6644 East Baywood Avenue
Banner Thunderbird Medical Center,5555 West Thunderbird Road
Honorhealth Deer Valley Medical Center,19829 North 27Th Avenue
Banner Del E. Webb Medical Center,14502 West Meeker Boulevard
Abrazo Arrowhead Hospital,18701 North 67Th Avenue
Western Arizona Regional Medical Center,2735 Silver Creek Road
Mayo Clinic Hospital,5777 East Mayo Boulevard
Banner Heart Hospital,6750 East Baywood Avenue
Arizona Spine And Joint Hospital,4620 East Baseline Road
The Core Institute Specialty Hosp,6501 North 19Th Avenue
Abrazo West Campus,13677 West Mcdowell Road
Banner-University Medical Center South Campus,2800 East Ajo Way
Arizona Orthopedic And Surgical Specialty Hospital,"2905 West Warner Road, Suite 1"
Whiteriver Phs Indian Hospital,200 West Hospital Drive  (Po Box 860)
Oro Valley Hospital,1551 East Tangerine Road
Banner Estrella Medical Center,9201 West Thomas Road
Valley View Medical Center,5330 South Highway 95
Mercy Gilbert Medical Center,3555 South Val Vista Drive
"Mountain Vista Medical Center, Lp",1301 South Crismon Road
Banner Gateway Medical Center,1900 North Higley Road
Honorhealth Scottsdale Thompson Peak Med Ctr,7400 East Thompson Peak Parkway
Phoenix Va Medical Center,650 E. Indian School Road
Banner Ironwood Medical Center,37000 North Gantzel Road
O.A.S.I.S. Hospital,750 North 40Th Street
Banner Goldfield Medical Center,2050 West Southern Avenue
Dignity Health - Arizona General Hospital,7171 South 51St Avenue
Western Regional Medical Center,14200 West Celebrate Life Way
Dignity Health Arizona General Hospital,9130 East Elliot Road
Va S. Arizona Healthcare System,3601 South Sixth Avenue
Honorhealth Sonoran Crossing Medical Center,33400 North 32Nd Avenue
Banner Ocotillo Medical Center,1405 South Alma School Road
Northwest Medical Center Sahuarita,16260 South Rancho Sahuarita Boulevard
Exceptional Community Hospital - Maricopa,19060 North John Wayne Parkway
East Valley Er & Hospital,5656 South Power Rd
Yuma Community Hospital,2648 South Araby Rd
Va Northern Arizona Healthcare System,500 Highway 89 North
Wickenburg Community Hospital,520 Rose Lane
Benson Hospital,450 South Ocotillo Avenue
"Northern Cochise Community Hospital, Inc.",901 West Rex Allen Drive
Page Hospital,501 North Navajo Drive
Hopi Health Care Center,"Highway 264, Milepost 388"
Parker Indian Health Center,12033 Agency Road
Huhu Kam Memorial Hospital,483 West Seed Farm Road
Sage Memorial Hospital,Highway 264 West And 191 South
Little Colorado Medical Center,1501 North Williamson Avenue
Copper Queen Community Hospital,101 Cole Avenue
Holy Cross Hospital,1171 West Target Range Road
Cobre Valley Regional Medical Center,5880 South Hospital Drive
White Mountain Regional Medical Center,118 South Mountain Avenue
La Paz Regional Hospital,1200 West Mohave Road
Banner Payson Medical Center,807 South Ponderosa Drive
Mt. Graham Regional Medical Center,1600 South 20Th Avenue
San Carlos Apache Healthcare Corporation,103 Medicine Way Road
Phoenix Children'S Hospital,1919 East Thomas Road
Banner Behavioral Health Hospital,7575 East Earll Drive
"St. Luke'S Behavioral Hospital, Lp",1800 East Van Buren
Haven Behavioral Hospital Of Phoenix,"1201 South 7Th Avenue, Suite 200"
Arizona State Hospital,2500 East Van Buren Street
Sonora Behavioral Health Hospital,6050 North Corona Road
The Guidance Center,2187 North Vickey Street
Aurora Behavioral Health System,6015 West Peoria  Avenue
The Healing Place,181 Whipple St
Valley Hospital,3550 East Pinchot Avenue
Changepoint Psychiatric Hospital,1920 West Commerce Drive
Aurora Behavioral Healthcare-Tempe,6350 South Maple Avenue
Oasis Behavioral Health Hospital,"2190 North Grace Boulevard, Building A"
Palo Verde Behavioral Health,2695 North Craycroft Road
Quail Run Behavioral Health,2545 West Quail Avenue
Copper Springs East- Gilbert,10550 West Mcdowell Road
Cornerstone Behavioral Health El Dorado,1400 North Wilmot Road
Destiny Springs Healthcare,17300 North Dysart Road
Avenir Behavioral Health Center,16561 North Parkview Place
"Medical Behavioral Hospital Of Northern Arizona, L",181 Whipple Street
"Phoenix Medical Psychiatric Hospital, Llc",1346 East Mcdowell Road
Via Linda Behavioral Hospital,9160 East Horseshoe Rd
Siloam Springs Regional Hospital,3873 N Parkview Drive
Johnson Regional Medical Center,1100 East Poplar Street
Washington Regional Medical Center,3215 N North Hills Boulevard
Chi-St Vincent Infirmary,Two St Vincent Circle
Mercy Hospital Northwest Arkansas,2710 South Rife Medical Lane
Chambers Memorial Hospital,719 Detroit Street
White County Medical Center,3214 East Race Avenue
Mena Regional Health System,311 North Morrow Street
Uams Medical Center,4301 West Markham Street Mail Slot 612
North Arkansas Regional Medical Center,620 North Main Street
Baptist Health - Van Buren,211 Crawford Memorial Drive
Forrest City Medical Center,1601 Newcastle Road
St Bernards Medical Center,225 E Washiington Avenue
Northwest Medical Center-Springdale,609 West Maple Avenue
St Vincent Hot Springs,300 Werner Street
Baxter Regional Medical Center,624 Hospital Drive
"Conway Regional Medical Center, Inc",2302 College Avenue
Baptist Health Medical Center North Little Rock,3333 Springhill Drive
Arkansas Methodist Medical Center,900 West Kingshighway
St Marys Regional Medical Center,1808 West Main Street
Five Rivers Medical Center,2801 Medical Center Drive
Ouachita County Medical Center,638 California Avenue
Drew Memorial Health System,778 Scogin Drive
Baptist Health - Fort Smith,1001 Towson Avenue
Mercy Hospital Fort Smith,7301 Rogers Ave
Magnolia Hospital,101 Hospital Drive
Great River Medical Center,1520 N Division Street
Jefferson Regional Medical Center,1600 West 40Th Avenue
Baptist Health Medical Center-Stuttgart,1703 North Buerkle St
Baptist Health Medical Center-Hot Springs County,1001 Schneider Drive
National Park Medical Center,1910 Malvern Avenue
Saline Memorial Hospital,#1 Medical Park Drive
Helena Regional Medical Center,1801 Martin Luther King Jr Drive
Medical Center Of South Arkansas,700 West Grove Street
Fayetteville Ar Va Medical Center,1100 N. College Avenue
Va Central Ar. Veterans Healthcare System Lr,4300 West Seventh Street
Baptist Health Medical Center-Little Rock,9601 Interstate
"Baptist Memorial Hospital Jonesboro, Inc.",4800 East Johnson Avenue
White River Medical Center,1710 Harrison Street
Leo N Levi Memorial Hospital,300 Prospect Ave
"Arkansas Heart Hospital, Llc",1701 S Shackleford Road
St Vincent Medical Center/North,2215 Wildwood Avenue
Arkansas Surgical Hospital,5201 North Shore Drive
Northwest Health Physicians Specialty Hospital,3873 North Parkview Drive
Wadley Regional Medical Center At Hope,2001 South Main
Baptist Health Medical Center- Conway,1555 Exchange Avenue
"Baptist Memorial Hospital-Crittenden, Inc",2100 North Seventh Street
Arkansas Heart Hospital-Encore,1901 Encore Way
Mercy Hospital Paris,500 East Academy
Dardanelle Regional Medical Center,200 North Third Street
Mercy Hospital Ozark,801 West River Street
Eureka Springs Hospital Commission,24 Norris Street
Mercy Hospital Waldron,1341 West Sixth Street
"Izard County Medical Center, Llc",61 Grasse Street
Crossridge Community Hospital,310 South Falls Boulevard
Mcgehee Hospital,900 South Third Street
Lawrence Memorial Hospital,1309 West Main Street
Stone County Medical Center,2106 East Main Street
Howard Memorial Hospital,130 Medical Circle
Baptist Health Medical Center Heber Springs,1800 Bypass Road
Ozark Health,2500 Highway 65 South
"Dewitt Hospital & Nursing Home, Inc",1641 Whitehead Drive
South Mississippi County Regional Medical Center,611 West Lee Avenue
Dallas County Medical Center,201 Clifton Street
Mercy Hospital Booneville,880 West Main
Little River Memorial Hospital,451 West Locke Street
Baptist Health Medical Center-Arkadelphia,3050 Twin Rivers Drive
FULTON COUNTY HOSPITAL,679 NORTH MAIN STREET
