dID,speciality,About
D00352,Neurology,"Ania Busza received her undergraduate degrees in Biology and in Brain and Cognitive Sciences at Massachusetts Institute of Technology. She then completed her M.D. and Ph.D. training at the University of Massachusetts Medical School, where her doctorate work focused on how light and temperature cues help re-set the circadian clock. Her clinical training includes internship and residency in Neurology at Boston University Medical Center, followed by the Vascular Neurology (Stroke) Fellowship at the University of Rochester School of Medicine and Dentistry. She then completed an Experimental Therapeutics fellowship at the University of Rochester. Dr Busza is currently an Assistant Professor in the Stroke division of the Neurology department. She divides her time between clinical care for patients with stroke, being Associate Director of the T32-funded Experimental Therapeutics Fellowship, and directing the Movement and Plasticity Laboratory (MAPL). Her research focuses on adapting new technologies to create more personalized therapies for post-stroke motor impairments, in order to ultimately improve recovery of function after stroke."
D00363,Medicine,"Dr. Caiola received his medical degree from the State University of New York at Buffalo. He then completed his residency at Baystate Medical Center in Massachusetts and a fellowship in Internal Medicine at the Cleveland Clinic Foundation in Ohio. Dr. Caiola is a Assistant Professor of Medicine and Pediatrics at the University of Rochester, School of Medicine. He is board certified in both Internal Medicine and Pediatrics and is a member of American College of Physicians, the American Academy of Pediatrics and the Society of General Internal Medicine.Dr. Caiola works to optimize the health of his patients by forming interactive partnerships for good health. He has a special interest in resident education and mentorship. Outside of work, Dr. Caiola enjoys spending time with his wife and four children."
D00993,Family Medicine,"Tom Campbell, MD, fled the biomedical world of Boston and Harvard (BA, 1974 and MD, 1979) and moved west to Rochester for his residency training in Family Medicine. Enamored by the biopsychosocial model and family systems, he received additional training in George Engel's psychosomatic medicine fellowship and the University of Rochester's Family Therapy Training Program.He has written extensively on the relationship between families and health including a research monograph, ""Family's Impact on Health"" and two books, Families and Health (with William Doherty, PhD) and Family-Oriented Primary Care: A Manual for Medical Provider (with Susan McDaniel PhD and David Seaburn, MS). He co-edits Families, Systems, and Health: Journal of Collaborative Family Health Care with Susan McDaniel, PhD. In 2003, he was appointed William Rocktaschel Professor and Chair of the Department of Family Medicine and Associate Director of the URMC Center for Primary Care.He has been the William Rocktaschel Professor and Chair of the Department since 2004.  He is a past president of the Association of Departments of Family Medicine (ADFM) and past chair of the Council of Academic Family Medicine (CAFM).  He currently serves on the Board of Directors of Family Medicine for America's Health, a 5 year project sponsored by the 8 FM organizations to determine a strategic direction for our discipline.  To escape the chaos, Tom enjoys road cycling and cross-country skiing (the seasons overlap in Rochester)."
D00548,Orthopaedic Surgery,"As an orthopaedic oncologist, I specialize in treating both benign and malignant musculoskeletal tumors in adults and children. I have a particular interest in limb-sparing surgery and endoprosthetic reconstruction for treating bone sarcomas. The advanced reconstruction procedures I do in my oncology practice are similar in nature to revision joint arthroplasty. As an adjunct to my oncology practice I also perform primary total knee and total hip replacements and complex total joint revision surgery.  Many patients with metabolic bone disorders need arthroplasty surgery at some point, and due to their bone quality often require special consideration and alternative reconstructive surgeries in order for them to re-gain maximal function with minimal complications.I find surgical oncology and joint revision surgery a challenging but invigorating field. Each operation is different, as no two patients or their reconstructive challenges are alike. I have the opportunity to treat patients of all ages and to operate on different areas of the anatomy. Most important, I am able to make a true difference in my patients' lives by helping them overcome their disease, while maintaining mobility and function.Cancer patients require a multidisciplinary approach to care. I treat each patient with compassion and understanding ??and try my best to involve patients and their families in the decision-making process, as much as possible. Along with medicine, I believe strongly in yoga, meditation, and reiki as ways to complement our medical treatment of our patients. I obtained my Reiki Master Certification in 2016.Conditions I Treat- Bone and soft tissue sarcomas- Metastatic carcinoma to the bone- Avascular necrosis"
D00922,Colorectal Surgery,"As a colorectal surgeon, I use minimally invasive techniques to treat cancer including laparoscopic, robotic and transanal approaches. In addition, I am the director of our surgical endoscopy center where we help the community access screening for colorectal cancers and other conditions. I chose this field because of my exposure to wonderful, talented and caring mentors during medical school and residency rotations, as well as from my research experience at Memorial Sloan Kettering Cancer Center in New York City. Since I believe the best approach to care is a collaborative partnership that takes individual patient needs into account, I work together with my patients to help achieve the best outcome to speed recovery and maximize overall health. I bring to the table my skills, experience and education, but my patients bring a deep understanding of their own bodies that no one else can match. As my patient, you can be confident knowing I am here to listen ??and to partner with you to deliver the best possible custom-tailored care.Conditions I Treat- Colon cancer/polyps- Rectal cancer- Anal cancer - Appendiceal cancer-Inflammatory bowel disease (Crohn's and Ulcerative Colitis)-Diverticulitis"
D00230,General Surgery,
D00691,Ophthalmology,
D00216,Palliative Care,"As a Palliative Care provider who sees patients in consultation in the hospital, my goal is to help patients and their families navigate the complex medical decision making that occurs when a loved one is ill. When there are a lot of doctors saying a lot of different things, it's important to make sure that everyone is heard and understood and that we are all on the same page. My aim is to explore a patient's values in life and help translate those values into medical or surgical interventions and decisions. I am passionate about teaching other providers the skills needed to be expert communicators."
D00637,Family Medicine,"Dr. Michelle Cicilline received her medical degree from Brown University School of Medicine. She completed her residency in Family Medicine at Franklin Square Hospital in Baltimore, MD. Dr. Cicilline is certified by the American Board of Family Medicine.Dr. Cicilline enjoys teaching and believes that by educating her patients, they will be able to reach their highest potential of well being. She enjoys taking care of the whole family, specializing in patient-focused preventive care and health education."
D00877,Orthopaedic Surgery,"I am a fellowship trained orthopaedic surgeon who specializes in the surgical and non-surgical care of the foot and ankle. I have a special interest in the management of complex foot deformities and total ankle replacement. The problems I take care of include sports injuries, ligament/tendon tears, arthritis, flat feet, cavus feet, deformity after trauma, and bunions/hammertoes. This includes some arthroscopic and minimally invasive techniques. Additionally, I provide general orthopaedic care for traumatic injuries and fractures, with a focus on lower extremity fractures.My goals are to help patients return to activities they enjoy, improve function, and reduce pain to improve patient quality of life. Even when surgery isn??t needed, I work closely with our team of physical therapists, expert orthotists/prosthetists, and other physicians to help patients meet their recovery goals. I take pride in my role educating residents to be the next generation of physicians, and in my collaborative work with our team of researchers to help further understand the problems we see every day."
D00005,OB/GYN,
D00450,Intensivists (ICU),"My two main goals are to improve the health of individual patients and improve the health of populations through research on air pollution and inhaled toxins.In addition to treating patients with general pulmonary disease in my outpatient clinic at the Mary Parkes Center for Asthma, Allergy &amp; Pulmonary Care, I  have a special interest in occupational lung disease. Under expert mentorship from Dr. Mark Utell and colleagues, I have developed expertise in the diagnosis and management of disorders caused by inhaled toxins that injure people both at home and in the workplace. This includes my efforts to help patients quit smoking and other inhaled toxins.  My work in the medical intensive care unit (ICU) in the University of Rochester Medical Center involves caring for critically ill patients in the hospital.My primary research focus is on the pulmonary health effects of air pollution. I am currently completing a NIH funded career development project focused on the contribution of air pollution to the susceptibility of individuals suffering from respiratory viral infections. I also am involved in translational research on indoor air pollution and on other inhaled toxins including electronic nicotine delivery systems (vaping)."
D00660,Anesthesiology,
D00141,Imaging,"EDUCATIONFellowship:   07/2010 ??06/2011 MRI Fellowship, University Medical Imaging, Rochester, NYResidency:   07/2006 ??06/2010 Radiology Resident, West Penn Allegheny Health System, Pittsburgh, PAInternship:  06/2005 ??06/2006 Transitional Year, University of Pittsburgh Medical Centers, Pittsburgh, PAMedical Education:  9/2000 ??06/2005Medical Doctor, University of Chicago Pritzker School of Medicine, Chicago, IL7/2004 ??06/2005 Student research assistantUndergraduate Degree: 08/1996 ??05/2000 Bachelor of Science, Biology, University of Illinois Urbana ??ChampaignHigh School Degree: 09/1992 ??06/1996High School Diploma, University of Chicago Laboratory Schools, Chicago, ILEMPLOYMENT06/2001 ??08/2001 Physics Tutor and Resident Advisor, Chicago Summer Science Enrichment Program 08/1999 ??05/2000 Physics Tutor, Office of Minority Student Affairs, University of Illinois Urbana ??Champaign"
D00767,Internal Medicine,"Born in Pittsburgh, Katharine Deiss MD was raised in Salt Lake City, Utah.  After teaching kindergarten and seventh grade over six years, she attended medical school at the University of Utah where she pioneered the first residency in Adult (Internal) Medicine and in Pediatrics, offered there.  She is board certified in both adult and pediatric medicine. She spent 13 years in private practice in Utah where she was Department Chairman in Pediatrics at Salt Lake Regional Hospital, chairman of the Women's Section of the Utah Medical Association and served Salt Lake City as the Vice-Chair of the Youth and Family Board.  She moved with her husband and two sons to Rochester, NY in 2005 and joined Strong Health. She enjoys her teaching responsibilities at the University of Rochester and has a joint appointment as an Assistant Professor of Clinical Medicine and of Clinical Pediatrics.  Kate is a fellow of the American Academy of Pediatrics.  At work, Kate especially enjoys getting to know a family across all its generations from premature newborns to great-grandparents.  She prefers preventing illness to treating it and believes that it is her job to teach each patient about their illness and support them in making decisions that are right for them.  As a pediatrician AND an internist, she is especially comfortable working with adults who have been ill since childhood.After work, she spends too much time watching  youth football, hockey, lacrosse and wrestling.  She also enjoys working in the garden."
D00538,Medicine,"I chose this field because I learned that I was most able to help people when I had time to sit down with them, explore their hopes and fears, and walk them through one of the most difficult times in their lives. By taking the whole person, as well as their family members, into consideration, I tailor my approach to care to meet their wishes and needs.My areas of expertise include palliative care, pain and symptom management, helping patients with complex decisions and, if needed, end-of-life and hospice care. I feel privileged to get to know each of my patients ??and to help keep them informed and comfortable through a difficult journey.Care I Provide- Palliative care for all cancers- End-of-life and hospice care for all cancers"
D00102,Emergency,"Dr. DiCesare is an assistant professor of Emergency Medicine. She obtained her undergraduate degree from Elmira College in 2002, and her Masters in Molecular Biology from New York University in 2005. She received her medical degree from Lake Erie College of Osteopathic Medicine in 2009. Dr. DiCesare completed her residency at the University of Rochester in 2012, and served as Chief Resident from 2011-2012."
D00014,OB/GYN,
D00688,Family Medicine,
D00037,Vascular Surgery,"Adam J. Doyle, MD, Assistant Professor of Surgery received his BS in Biological Sciences from Cornell University graduating Magna Cum Laude with distinction in research. Dr. Doyle then earned his medical degree with distinction in research from the University of Rochester School of Medicine and Dentistry. He was awarded several prestigious honors during medical school, including the Class of 1954 Scholarship and the Society for Vascular Surgery Medical Student Scholarship Award. After medical school, Dr. Doyle completed a Residency and Research Fellowship in Vascular Surgery at the University of Rochester Medical Center. Dr. Doyle has been on staff at the University of Rochester Medical Center since 2014 and has distinguished himself through his thoughtful patient-centered care. He is licensed to practice medicine in the state of New York and is certified by the American Board of Surgery in Vascular Surgery. Additionally, Dr. Doyle is Certified Registered Physician in Vascular Interpretation. Dr. Doyle's clinical interests include the treatment of peripheral vascular disease, open and endovascular treatments of thoracic and abdominal aortic aneurysms, cerebrovascular disease, complex venous disease, and thoracic outlet syndrome (TOS). Dr. Doyle is a member of professional organizations including the Society for Clinical Vascular Surgery, Vascular and Endovascular Surgery Society, and the Society for Vascular Surgery. His research has been published in several peer-reviewed journals, including Annals of Vascular Surgery and Journal of Vascular Surgery. His research interests include the study of TOS, abdominal aortic aneurysm, carotid artery stenosis, and vascular imaging quality improvement."
D00983,GYN Oncology,"As the former Director of Gynecologic Oncology and Professor of Obstetrics and Gynecology for the University of Rochester Medical Center, I strive to achieve the best possible outcomes for my patients.The field of gynecologic oncology attracted me because it encompasses both surgical and medical aspects of cancer care. It is a challenging and unique field, but is also especially rewarding.I have expertise in robotic surgery, as well as in treating endometrial cancers and gestational trophoblastic neoplasms. My patients can be confident knowing that I will spare no effort in providing the best care for their condition.Conditions I Treat- Ovarian cancer- Cervical cancer- Endometrial cancer- Vulvar cancer- Gestational trophoblastic neoplasms"
D00851,Gastroenterology,
D00567,Vascular Surgery,"Jennifer L. Ellis, M.D. joined the University of Rochester Medical Center in 2011 as an assistant professor of surgery in the division of vascular surgery.  She serves as the medical director of the Vein Care Center which attained IAC accreditation in 2017 under her leadershipDr. Ellis earned her Bachelor of Science and Medical Degrees at the University of Michigan in Ann Arbor, Michigan where she attended the combined pre-medical/medical program, Inteflex. She completed her general surgery training at Henry Ford Hospital in Detroit, Michigan and her vascular surgery fellowship at Cleveland Clinic Foundation in Cleveland, Ohio.Dr. Ellis is a member of numerous professional societies and is active in clinical research.  Her areas of interest include both open and endovascular treatment of aortic, cerebrovascular and peripheral vascular disease as well as complex venous conditions.Dr. Ellis is a Diplomate of the American Board of Surgery and American Board of Vascular Surgery. She is also certified by the American Registry for Diagnostic Medical Sonography and is a Registered Physician in Vascular Interpretation (RPVI)."
D00910,Hospitalist,
D00726,Colorectal Surgery,"Dr Asim Farid is a native of Pakistan , where he went to medical school.  After graduation in 1984 he went to England for surgical training, and obtained a Fellowship in General Surgery from the Royal College o f Surgeons in Edinburgh, Scotland. He then moved to the USA in 1991, where he underwent Residency training at the Guthrie Clinic in Sayre, PA.  After completing this training in 1996, he moved to Kentucky where he was a General Surgeon and Chief of Surgery at Owen County Memorial Hospital.  In 2000 he joined Henry Ford Hospital, Detroit Michigan, for a 1 year Fellowship in Colon and Rectal Surgery.  In September 2001 he moved to Rochester where he is now settled.He is skilled at performing numerous surgical procedures in colon and rectal surgery. He has a particular interest in laparoscopic procedures, surgery for cancer of the colon and rectum and robotic surgery.  He was one of the first surgeons in the area who performed the Stapled hemorrhoidopexy procedure, a specialized procedure for certain types of symptomatic hemorrhoids.He is certified by The American Board of Surgery and the American Board of Colon and Rectal Surgery. He is a Fellow of the American College of Surgeons and American Society of Colon and Rectal Surgeons"
D00882,Hospitalist,
D00964,Infectious Disease,
D00607,Laboratory Medicine,"Kevin received his BA in psychology from Antioch College, his MD from the Medical College of Virginia, and his MPH degree from the University of Rochester. He completed a faculty development fellowship through the University of Rochester Department of Family Medicine, training in family therapy through the Department of Psychiatry and joined the faculty in 1996. He is Associate Director of the Research Division in the Department of Family Medicine and Associate Director of the Rochester Center for Communication and Disparities Research, Co-Director of the Greater Rochester Practice-Based Research Network, and Function Leader  Multi-disciplinary Teams within the University of Rochester Clinical &amp; Translational Science Institute. He works as a Family Physician, HIV Physician and Addiction Medicine Physician at Jordan Health.  His research focuses on pragmatic strategies to improve equity within primary care related to cancer, cardiovascular disease prevention and HIV."
D00988,Colorectal Surgery,"The University of Rochester Medical Center is pleased to announce Fergal J. Fleming,MB BCh BAO, MD, FRCS has been appointed an Assistant Professor of Surgery and Oncology. He has been a Fellow in the URMC Division of Colorectal Surgery since 2009.Dr. Fleming was awarded his medical degree from the University College of Dublin, Ireland in 1998. He is also a Fellow of the Royal College of Surgeons in Ireland. Dr. Fleming's surgical residency included extensive training in general, vascular and hepatobiliary surgery, as well as dedicated training in colorectal surgery. He was successfully awarded the Intercollegiate Specialist Examination (UK and Ireland) in general surgery with a sub-specialty interest in colorectal surgery in 2009. In addition to being licensed to practice medicine in the state of New York, Dr. Fleming is on the Specialist Register of the Irish Medical Council in recognition of his specialist training in the field of surgery.Throughout his clinical training, Dr. Fleming's academic career flourished with numerous peer-reviewed publications in international journals, as well as distinguished prizes and awards, including a Surgical Research Fellowship in 2002 and the Irish Journal of Medical Science Doctor Award, Surgical Section in 2004. He was also awarded a diploma in Cancer Chemoprevention from the National Cancer Institute, Bethesda, Maryland in 2007.Dr. Fleming is a member of many professional organizations including the American Society of Colon and Rectal Surgeons, the Society of Surgical Oncology, the Association of Laparoscopic Surgeons of Great Britain and Ireland and the Royal Academy of Medicine in Ireland. He looks forward to providing URMC patients with the highest international standards of surgical care, including advances in minimally invasive surgery, at both Highland Hospital and Strong Memorial Hospital."
D00825,Family Medicine,"BackgroundDr. Fogarty completed her BA in Chemistry at Cornell University where she was elected to Phi Beta Kappa; after a year in service as a Jesuit Volunteer in Southern California, she entered the University of Connecticut  School of Medicine where she earned her MD. She trained as a resident and served as Chief resident in Family Medicine at Highland Hospital/University of Rochester. She then completed additional training in the Marriage and Family Therapy Training Program at the University of Rochester and subsequently a Master of Science in Epidemiology and Biostatistics from the Boston University School of Public Health.ClinicalDr. Fogarty is a Board Certified Family Physician who practices full spectrum care for children and adults, with a commitment to serving underserved patients.  After residency, she practiced in a rural Community Health Center in Western New York for three years before joining the faculty and practicing at the Boston University Department of Family Medicine.  Returning to Rochester in 2004 to join the UR Department of Family Medicine, she initially practiced at Brown Square/Jordan Health Center.  In 2017, she moved to practice at the Highland Family Medicine Center in Rochester NY. Her special clinical interests include working with patients coping with post-trauma symptoms, integrating mental health care within routine primary care practice, and behavioral change to promote health and wellness. Teaching and ScholarshipDr. Fogarty's publication record reveals both empirical and creative work. This scholarship includes work in primary care identification and management of mental health conditions, intimate partner violence, cultural humility training and Patient Centered Communication Strategies while Using the Electronic Health Record. Her empiric publications have appeared in Family Medicine, Preventive Medicine, The Clinical Teacher, and other journals. A committed medical educator, she has taught many topics relevant to the Patient Centered Medical Home, including team development, team huddles, and supporting patient self-management.Dr. Fogarty is considered an expert on writing 55-word stories and using them as an educational tool for self-reflection. She has published many of stories, poetry, and narrative essays in journals including Family Medicine, Health Affairs, Pulse Magazine, Medical Humanities, the Journal of Family Practice, and Families, Systems, and Health. Dr. Fogarty served as co-editor of the interdisciplinary journal, Families, Systems, and Health in 2013-2018.  She has received creative writing awards from the University of Rochester Cluster on Human Values in Healthcare and the Family Medicine Education Consortium. LeadershipSince joining the Department of Family Medicine as faculty, Dr. Fogarty has served in a variety of leadership roles including: Assistant Residency Director, Site Director at Brown Square/Jordan for the UR Family Medicine residency, Medical Director of the Highland Family Medicine Practice, Associate Chair for Interprofessional Practice and Education, and Senior Communication Coach for URMC Physician Communication Coaching Program."
D00518,OB/GYN,"Dr. Katina Foster grew up in Geneseo, NY.  She graduated Magna Cum Laude from Bucknell University in 2007 and from SUNY Buffalo School of Medicine and Biomedical Sciences in 2011 where she was awarded the Merck Medical Student Achievement award. Dr. Foster completed her residency through the University of Rochester in 2015 during which time she was elected Administrative Chief Resident.  Her special interests include family planning with a focus on long-acting reversible contraceptives, minimally invasive surgery including Davinci procedures, and childbirth and well women's health."
D00233,Hospitalist,
D00958,Urology,"Dr. Gentile has been a respected member of the region's medical community for over 20 years and is certified by the American Board of Urology. He is an Associate Professor of Clinical Urology  and is Chief of the Division of Urology at Highland Hospital. Dr. Gentile practices general adult urology and he has focused his practice in the area of male urology.   Dr. Gentile's areas of clinical interest include:?¢Male Sterilization (vasectomy)o Dr. Gentile is one of the highest volume performers of vasectomy or male sterilization in Monroe County?¢Male Sexual Dysfunction (Erectile Dysfunction, both medical and surgical management)o Dr. Gentile is one of the largest volume implanters of urologic prosthetics for the treatment of erectile dysfunction in New York State.?¢Peyronie's Disease (penile curvature)o Dr. Gentile was the first urologist in Monroe County to employ Xiaflex in the management of penile curvature refractory to other treatments?¢Premature Ejaculation?¢Low Libido (Low Sex Drive)?¢Low Testosterone (Male Menopause)?¢Healthy Male Aging?¢Male Urinary Incontinence (Medical and Surgical Management)?¢Dr. Gentile is one of the region's largest volume implanters of urologic prosthetics for the treatment of male urinary incontinence?¢Prostate Cancer (Specializing in Prostate Brachytherapy)?¢Dr. Gentile has helped to introduce HDR (High Dose Rate) brachytherapy to Monroe County and Western New York?¢BPH (Medical and Surgical Management)Dr. Gentile believes in a multifaceted approach to treating many urologic diseases, emphasizing and preserving quality of life where feasible.""If surgery can be avoided, it is best avoided.  If surgery is indeed necessary, however, it should be performed in a minimally invasive fashion, preserving, to the extent possible, a patient's native, normal anatomy."""
D00529,Internal Medicine,"Dr. Ghosh is a graduate of India-West Bengal, Burdwan Medical College where he received his MBBS in Medicine.  He completed his residency in Internal Medicine at Highland Hospital and served as a Senior Resident in Internal Medicine and Geriatrics and provided excellent experience in Ambulatory Medicine, Cardiology and Diabetes.  He is board certified in Internal Medicine."
D00973,Orthopaedic Surgery,"I am an Associate Professor and the Founder/Co-Director of the Hip Preservation Program. I am also the Co-Director of the UR Orthopaedic Sports Medicine Fellowship. As a fellowship-trained and board certified orthopaedic surgeon, I specialize in non-arthritic hip pain, and athletic injuries of the hip, knee, ankle, shoulder, and elbow. I perform open and arthroscopic surgical techniques, and also utilize modern biologic treatments (such as platelet rich plasma (PRP) and stem cell therapy) to optimize healing. I am the head team physician for Nazareth College Athletics, and a consultant for numerous college and professional athletic organizations, regionally and nationally."
D00601,Palliative Care,
D00739,Gastroenterology,
D00948,Medicine,
D00874,Infectious Disease,
D00036,Internal Medicine,
D00572,Anesthesiology,
D00122,Family Medicine,
D00633,OB/GYN,
D00021,Breast Imaging,
D00464,Infectious Disease,
D00598,Geriatrics,"Dr. Timothy Holahan is an assistant professor of medicine at the University of Rochester. He was born and raised in Rochester, NY but has received his medical training at Lake Erie College of Osteopathic Medicine (LECOM), University at Buffalo for residency training and University of Rochester for fellowship. He is board certified in internal medicine, geriatric medicine and palliative care. His main practice settings are in the skilled nursing facility (SNF) setting and Highland Hospital as a geriatric hospitalist. He specializes in caring for complex patients in the SNF setting and attends on patients at the Highlands at Brighton and Monroe Community Hospital Ventilator Units. He attends on short term rehab patients and long term care patients at Highlands at Brighton SNF. He is a certified medical director (CMD) and is the medical director of 2 local SNFs. Given his knowledge of both the inpatient and SNF setting, Dr. Holahan is also the director of complex transitions at Highland Hospital providing guidance and insight into discharging complex patients from the hospital. His approach to medicine is evidence based with also a focus on maximizing quality of life in the SNF setting and helping patients/families navigate severe illness. He is very active in local, state and national organizations to advocate for improvements in post acute care and has multiple publications that provide insights into this as well."
